setid,Mole fraction of ethanol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
feYvC,0.0793,101,298.15,1425.6,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.1174,101,298.15,1419.8,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.1393,101,298.15,1416.2,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.2058,101,298.15,1404.6,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.2578,101,298.15,1394.5,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.345,101,298.15,1374.8,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.384,101,298.15,1364.9,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.4122,101,298.15,1357.2,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.5622,101,298.15,1304.8,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.688,101,298.15,1239.28,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.7967,101,298.15,1153.32,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
feYvC,0.8984,101,298.15,1023.9,Andreatta et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
