setid,"MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of tetradecyltrimethylammonium bromide, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DKiaQ,0.00993,101,298,0.05,-0.722,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.0204,101,298,0.05,-0.742,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.02477,101,298,0.05,-0.755,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.03964,101,298,0.05,-0.823,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.05036,101,298,0.05,-0.782,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.05977,101,298,0.05,-0.806,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.0601,101,298,0.05,-0.829,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.0689,101,298,0.05,-0.816,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.06986,101,298,0.05,-0.819,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.07403,101,298,0.05,-0.83,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.08,101,298,0.05,-0.819,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.0973,101,298,0.05,-0.848,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.1157,101,298,0.05,-0.851,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.1494,101,298,0.05,-0.862,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.1683,101,298,0.05,-0.88,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.1995,101,298,0.05,-0.888,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.2231,101,298,0.05,-0.897,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.2394,101,298,0.05,-0.9,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.248,101,298,0.05,-0.89,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.2534,101,298,0.05,-0.908,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.2704,101,298,0.05,-0.906,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.283,101,298,0.05,-0.906,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.3011,101,298,0.05,-0.916,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.3296,101,298,0.05,-0.917,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.3513,101,298,0.05,-0.923,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.3975,101,298,0.05,-0.933,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.4458,101,298,0.05,-0.967,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.4979,101,298,0.05,-0.992,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.5487,101,298,0.05,-0.944,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.5907,101,298,0.05,-0.938,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.707,101,298,0.05,-0.906,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
DKiaQ,0.8082,101,298,0.05,-0.878,De Lisi et al. (1988b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
