setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KfOWy,298.15,0,93,997,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.0225,93,998.2,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.0465,93,999.3,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.0668,93,1000.3,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.1091,93,1002.4,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.1848,93,1006,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.2771,93,1010.2,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.3829,93,1015,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.481,93,1019.2,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.5812,93,1023.4,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
KfOWy,298.15,0.7088,93,1028.5,Terdale and Warke (2020),Density,Liquid,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,AADYJk,O,water,,,
