setid,"Solvent: MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","MolaLity of 1-nitropentane, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QgvNl,0.03666,0.00898,101,298,0.031,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.05981,0.00881,101,298,-0.012,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.06217,0.00892,101,298,-0.013,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.0787,0.00901,101,298,-0.017,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.1,0.009,101,298,-0.025,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.1311,0.00898,101,298,-0.029,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.1515,0.00901,101,298,-0.034,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.2,0.009,101,298,-0.031,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.2103,0.00899,101,298,-0.035,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.2499,0.009,101,298,-0.034,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.255,0.00899,101,298,-0.044,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.2975,0.00881,101,298,-0.034,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.2999,0.00899,101,298,-0.048,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.3002,0.009,101,298,-0.041,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.3334,0.009,101,298,-0.05,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
