setid,Mole fraction of butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qtdBc,0,323.15,100,976.1,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0,328.15,100,971.9,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0,333.15,100,967.5,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0,338.15,100,963.2,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0,343.15,100,958.8,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0,348.15,100,954.4,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0,353.15,100,950,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.1858,323.15,100,1137.6,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.1858,328.15,100,1133.2,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.1858,333.15,100,1128.7,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.1858,338.15,100,1124.3,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.1858,343.15,100,1119.6,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.1858,348.15,100,1115.2,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.1858,353.15,100,1110.7,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.3784,323.15,100,1230.9,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
qtdBc,0.3784,328.15,100,1226.4,Domanska et al. (2014e),Density,Liquid,AARRrA,CC(O)C(C)O,"2,3-butanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
