setid,Mole fraction of dimethyl carbonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BQhIf,0,298.15,101,1192.78,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.051,298.15,101,1191.17,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.1014,298.15,101,1189.24,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.1987,298.15,101,1184.98,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.2999,298.15,101,1179.76,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.4012,298.15,101,1173.39,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.5,298.15,101,1165.72,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.6005,298.15,101,1155.89,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.7007,298.15,101,1143.06,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.8003,298.15,101,1125.52,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,0.9,298.15,101,1100.22,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
BQhIf,1,298.15,101,1063.28,Kim et al. (2010),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
