setid,"Temperature, K","MolaLity of 1,3-dibutylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jmpUS,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,293.15,0.0108,100,998.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,293.15,0.0152,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,293.15,0.0216,100,999.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,293.15,0.0257,100,999.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,293.15,0.0304,100,999.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,293.15,0.0354,100,999.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,293.15,0.0405,100,1000,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,298.15,0.0108,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,298.15,0.0152,100,997.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,298.15,0.0216,100,997.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,298.15,0.0257,100,998.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,298.15,0.0304,100,998.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,298.15,0.0354,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
