setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qkpTL,100,298.15,0,997,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00110646,999.1,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.0018407,1000.5,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00214305,1001.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00239627,1001.7,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00400044,1004.7,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00443757,1005.5,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00487854,1006.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00552197,1007.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00634531,1008.8,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00732841,1010.6,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00821075,1012.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.00909458,1013.7,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.0102379,1015.6,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,0.0121746,1018.9,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,100,298.15,1,1182.6,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0,998.1,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00110646,1000.3,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.0018407,1001.7,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00214305,1002.4,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00239627,1002.8,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00400044,1005.6,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00443757,1006.4,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00487854,1007.1,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00552197,1008.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00634531,1009.8,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00732841,1011.6,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00821075,1013.3,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.00909458,1014.7,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.0102379,1016.5,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,0.0121746,1019.8,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,2500,298.15,1,1183.8,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0,999.2,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00110646,1001.4,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.0018407,1002.9,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00214305,1003.4,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00239627,1004,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00400044,1006.8,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00443757,1007.6,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00487854,1008.3,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00552197,1009.4,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
qkpTL,5000,298.15,0.00634531,1011,Troncoso (2021),Density,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,AADYJk,O,water,,,
