setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of D-xylose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
unHpQ,288.15,0,86,0.5,1025.59,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.01989,86,0.5,1026.29,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.02515,86,0.5,1026.48,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.03001,86,0.5,1026.65,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.03368,86,0.5,1026.77,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.03707,86,0.5,1026.89,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.04216,86,0.5,1027.07,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.04658,86,0.5,1027.19,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.0522,86,0.5,1027.36,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
unHpQ,288.15,0.0881,86,0.5,1028.36,Zamani et al. (2018),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
