setid,"Temperature, K",Mole fraction of triethylammonium dihydrogen phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SQlUG,298.15,0,101,1025.9,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.0115,101,1032,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.0257,101,1036.63,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.0702,101,1047.93,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.0995,101,1054.84,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.1498,101,1065.79,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.2409,101,1081.01,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.282,101,1086.8,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.3482,101,1094.7,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
SQlUG,298.15,0.4709,101,1105.46,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
