setid,Mole fraction of 1-ethyl-3-methylimidazolium heptachlorodialuminate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vXFXV,0,293.15,100,1299.3,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0,303.15,100,1291.1,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0,313.15,100,1283,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0,323.15,100,1275,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0,333.15,100,1267.1,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0,343.15,100,1259.2,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0,353.15,100,1251.4,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.1016,293.15,100,1311.4,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.1016,303.15,100,1303.1,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.1016,313.15,100,1294.8,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.1016,323.15,100,1286.6,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.1016,333.15,100,1278.4,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.1016,343.15,100,1270.4,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.1016,353.15,100,1262.3,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.2046,293.15,100,1323.2,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.2046,303.15,100,1314.7,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.2046,313.15,100,1306.2,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.2046,323.15,100,1297.9,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.2046,333.15,100,1289.5,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.2046,343.15,100,1281.3,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.2046,353.15,100,1273.1,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
vXFXV,0.3035,293.15,100,1334.1,Zheng et al. (2017a),Density,Liquid,ABbYvu,CCn1cc[n+](C)c1.Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium heptachlorodialuminate,ABBrFv,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,,,
