setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LNKbd,0.00608,298.15,102,997.17,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.00707,298.15,102,997.19,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.00796,298.15,102,997.21,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.00897,298.15,102,997.23,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.00999,298.15,102,997.25,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.01096,298.15,102,997.28,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.01199,298.15,102,997.3,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.01299,298.15,102,997.32,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.01398,298.15,102,997.34,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.01503,298.15,102,997.36,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.01596,298.15,102,997.37,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.01802,298.15,102,997.4,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.02001,298.15,102,997.43,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.02494,298.15,102,997.5,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.02994,298.15,102,997.58,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.03501,298.15,102,997.64,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
LNKbd,0.03995,298.15,102,997.71,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,
