setid,"Temperature, K","MolaLity of 1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XpZXw,293.15,0,101.3,974.8,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.0303,101.3,979.2,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.0398,101.3,980.6,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.0794,101.3,986,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.2476,101.3,1007.9,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.3513,101.3,1020.1,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.4028,101.3,1026.2,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.4536,101.3,1031.8,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,293.15,0.4968,101.3,1036.4,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
XpZXw,298.15,0,101.3,969.2,Wang et al. (2022b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
