setid,"MolaLity of 1-hexyl-3-methylimidazolium alaninate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eNWlI,0,288.15,100,999.13,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,293.15,100,998.23,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,298.15,100,997.07,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,303.15,100,995.67,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,308.15,100,994.06,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,313.15,100,992.24,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,318.15,100,990.25,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,323.15,100,988.07,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0,328.15,100,985.73,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0.0166,288.15,100,999.49,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
eNWlI,0.0166,293.15,100,998.58,Tong et al. (2016c),Density,Liquid,AAxFBC,CCCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],1-hexyl-3-methylimidazolium alaninate,AADYJk,O,water,,,
