setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of D-mannose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RCtFB,288.15,0,86,0.5,1032.01,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.01481,86,0.5,1032.53,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.01942,86,0.5,1032.68,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.0249,86,0.5,1032.86,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.02909,86,0.5,1033,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.03369,86,0.5,1033.16,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.03711,86,0.5,1033.27,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.04152,86,0.5,1033.4,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.04586,86,0.5,1033.52,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.052,86,0.5,1033.69,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.0873,86,0.5,1034.61,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.1384,86,0.5,1035.92,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.1954,86,0.5,1037.33,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.2502,86,0.5,1038.66,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.2788,86,0.5,1039.34,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,288.15,0.3664,86,0.5,1041.35,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0,86,0.5,1030.88,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.01481,86,0.5,1031.37,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.01942,86,0.5,1031.51,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
