setid,"Temperature, K",Mole fraction of butan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UfEuT,283.15,0.129,101,1139,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,283.15,0.26,101,1111.5,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,283.15,0.361,101,1087.5,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,283.15,0.456,101,1062,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,283.15,0.565,101,1028.4,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,283.15,0.65,101,998.2,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,283.15,0.753,101,955.4,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,283.15,0.848,101,908.8,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.129,101,1135.6,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.26,101,1108.1,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.361,101,1084.1,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.456,101,1058.6,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.565,101,1025.1,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.65,101,994.7,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.753,101,951.8,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,288.15,0.848,101,905.1,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.129,101,1132.4,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.26,101,1104.8,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.361,101,1080.7,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.456,101,1055.3,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.565,101,1021.5,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.65,101,991.2,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.753,101,948.3,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,293.15,0.848,101,901.5,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.129,101,1129.2,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.26,101,1101.4,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.361,101,1077.3,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.456,101,1051.9,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.565,101,1018.1,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.65,101,987.6,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.753,101,944.7,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,298.15,0.848,101,897.8,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.129,101,1126,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.26,101,1098.1,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.361,101,1074,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.456,101,1048.4,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.565,101,1014.6,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.65,101,984.2,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.753,101,941.2,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UfEuT,303.15,0.848,101,894.2,Mokhtarani et al. (2009b),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
