setid,"MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UJtfX,0,101,298.15,997.05,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.05281,101,298.15,997.72,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.09783,101,298.15,998.29,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.14328,101,298.15,998.85,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.19981,101,298.15,999.56,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.24711,101,298.15,1000.15,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.28987,101,298.15,1000.69,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.31733,101,298.15,1001.04,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.40515,101,298.15,1002.14,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.42202,101,298.15,1002.35,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
UJtfX,0.49947,101,298.15,1003.31,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
