setid,"MolaLity of 1-methyl-3-octylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uDUgB,0,101.3,298.15,1095.3,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.003697,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.007705,101.3,298.15,1095.5,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.01147,101.3,298.15,1095.6,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.01568,101.3,298.15,1095.7,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.01953,101.3,298.15,1095.8,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.02373,101.3,298.15,1095.9,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.02785,101.3,298.15,1096.1,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.03185,101.3,298.15,1096.2,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.03581,101.3,298.15,1096.2,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
uDUgB,0.03956,101.3,298.15,1096.3,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
