setid,Mole fraction of 1-allyl-3-methylimidazolium dicyanamide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JMwCH,0,288.15,100,810,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0,293.15,100,800,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0,298.15,100,800,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0,303.15,100,800,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0,308.15,100,790,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0,313.15,100,790,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0,318.15,100,780,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0.1,288.15,100,900,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0.1,293.15,100,890,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JMwCH,0.1,298.15,100,890,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
