setid,"MolaLity of 1-butyl-3-methylimidazolium hypoxanthinide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KHnxJ,0,94.4,298.15,997.05,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.0257,94.4,298.15,998.45,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.0388,94.4,298.15,999.16,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.0515,94.4,298.15,999.84,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.0647,94.4,298.15,1000.55,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.1666,94.4,298.15,1005.88,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.3052,94.4,298.15,1012.94,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.4083,94.4,298.15,1017.99,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.4647,94.4,298.15,1020.65,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.6561,94.4,298.15,1029.2,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
KHnxJ,0.7349,94.4,298.15,1032.67,Gavhane et al. (2022),Density,Liquid,ABAnVp,[N-]1C=NC=2N=CNC2C1=O.C(CCC)N1C=[N+](C=C1)C,1-butyl-3-methylimidazolium hypoxanthinide,AADYJk,O,water,,,
