setid,"Temperature, K",Mole fraction of pyrrolidinium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hFFlY,298.15,0,101.3,997,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0,101.3,997,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0147,101.3,970,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0147,101.3,970,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0306,101.3,961,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0306,101.3,961,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0554,101.3,962,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0554,101.3,962,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0941,101.3,983,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
hFFlY,298.15,0.0941,101.3,983,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAZplZ,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium nitrate,,,
