setid,Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tyGdQ,0,298,101,805.3,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.0941,298,101,962.2,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.2025,298,101,1087.1,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.2045,298,101,1089,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.306,298,101,1172.6,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.3064,298,101,1172.5,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.3964,298,101,1230.5,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.5002,298,101,1283.6,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.5977,298,101,1323.5,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.6848,298,101,1354.8,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.8016,298,101,1388.6,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,0.8986,298,101,1413,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
tyGdQ,1,298,101,1436,Wandschneider et al. (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
