setid,"Temperature, K",Mole ratio to solvent: tetrabutylammonium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HYCYK,313.15,8,101,937,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,313.15,9,101,935.1,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,313.15,10,101,934.3,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,323.15,8,101,945.2,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,323.15,9,101,941,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,323.15,10,101,941.3,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,333.15,8,101,952,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,333.15,9,101,947.2,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,333.15,10,101,946.2,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,343.15,8,101,957.2,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,343.15,9,101,953.1,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,343.15,10,101,951.1,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,353.15,8,101,964,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,353.15,9,101,959.1,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
HYCYK,353.15,10,101,958.1,Mjalli et al. (2016),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
