setid,"MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Upxlp,0,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.005851,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.0106,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.01551,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.01977,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.02479,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.02646,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.03544,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.03722,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
Upxlp,0.04453,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
