setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RIFhn,298.15,0,101.3,811.1,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.0521,101.3,860.9,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.1002,101.3,903.9,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.1485,101.3,944.4,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.1915,101.3,978.3,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.2792,101.3,1041.8,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.4059,101.3,1122.2,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.4298,101.3,1136,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.5643,101.3,1207.4,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RIFhn,298.15,0.6703,101.3,1256.9,Srinivasa Reddy et al. (2016b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
