setid,"MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of L-lysine monohydrochloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ObeET,0.05,0,298.15,101,999.134,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.05,0.04874,298.15,101,1001.81,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.05,0.05129,298.15,101,1001.95,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.05,0.06738,298.15,101,1002.83,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.05,0.07848,298.15,101,1003.45,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.05,0.0815,298.15,101,1003.61,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.05,0.0883,298.15,101,1003.96,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.05,0.10847,298.15,101,1005.05,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0,298.15,101,1014.58,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.01523,298.15,101,1015.39,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.03938,298.15,101,1016.64,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.04879,298.15,101,1017.13,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.0612,298.15,101,1017.77,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.06838,298.15,101,1018.16,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.08,298.15,101,1018.76,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.09206,298.15,101,1019.37,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.09358,298.15,101,1019.47,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.10467,298.15,101,1020.05,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
ObeET,0.5,0.12202,298.15,101,1020.97,Singh et al. (2004),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
