setid,"Temperature, K",Mole fraction of ethylene carbonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SGdgK,293.15,0,100,1524,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.1896,100,1514.1,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.3305,100,1508,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.4395,100,1495.1,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.5263,100,1485.8,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.6557,100,1467.3,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.7476,100,1447.6,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.8163,100,1429,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.8696,100,1409.6,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.912,100,1392,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.9467,100,1376.5,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,293.15,0.9756,100,1360.7,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0,100,1503.8,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.1896,100,1493.6,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.3305,100,1482.8,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.4395,100,1474.2,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.5263,100,1464.6,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.6557,100,1448.9,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.7476,100,1425.9,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.8163,100,1407,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.8696,100,1387.3,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.912,100,1369.3,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.9467,100,1354.1,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,0.9756,100,1337.9,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,313.15,1,100,1321.9,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0,100,1483.8,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.1896,100,1473.5,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
