setid,"Temperature, K","MolaLity of 1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pdcQa,293.15,0,101,949.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,293.15,0.0264,101,952.9,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,293.15,0.0538,101,956.5,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,293.15,0.1061,101,963.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,293.15,0.1657,101,970.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,293.15,0.2109,101,975.2,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,293.15,0.2692,101,981.6,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,303.15,0,101,939.4,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,303.15,0.0264,101,943.2,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,303.15,0.0538,101,946.9,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,303.15,0.1061,101,953.3,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,303.15,0.1657,101,960.3,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,303.15,0.2109,101,965.6,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,303.15,0.2692,101,971.8,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
