setid,"MolaLity of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WPyao,0.004763,298.15,100,1125.05,Papovi et al. (2017),Density,Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,AAbRRZ,CCCCC1CCC(=O)O1,.gamma.-octanolactone,,,
WPyao,0.097064,298.15,100,1133.54,Papovi et al. (2017),Density,Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,AAbRRZ,CCCCC1CCC(=O)O1,.gamma.-octanolactone,,,
