setid,Mole fraction of tetrabutylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
snBuL,0.039,293.2,100,988.3,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,298.2,100,984.9,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,303.2,100,981.5,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,308.2,100,978.1,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,313.2,100,974.6,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,318.2,100,971.1,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,323.2,100,967.5,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,328.2,100,963.9,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,333.2,100,960.3,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,338.2,100,956.6,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,343.2,100,952.9,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.039,348.2,100,949.2,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.1,293.2,100,971.1,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.1,298.2,100,967.6,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.1,303.2,100,964.1,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.1,308.2,100,960.6,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.1,313.2,100,957,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.1,318.2,100,953.5,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
snBuL,0.1,323.2,100,949.9,Vilas-Boas et al. (2020),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AADYJk,O,water,,,
