setid,Mole fraction of ethanol,Mole fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vEDjt,0.0425,0.9493,101,298.15,1000.2,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.0462,0.9365,101,298.15,1018.2,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.054,0.9172,101,298.15,1036.13,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.0603,0.8923,101,298.15,1059.92,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.0723,0.8613,101,298.15,1079.12,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.0829,0.8208,101,298.15,1101.17,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.0885,0.9037,101,298.15,985.2,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.0898,0.1724,101,298.15,1218.1,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.0906,0.3653,101,298.15,1207,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
vEDjt,0.1018,0.8819,101,298.15,998.5,Calvar et al. (2007b),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
