setid,"Mole fraction of N-methyl-N,N-dioctyl-1-octanaminium chloride","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PVQZU,0,298.15,101,1063.7,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0,303.15,101,1056.7,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0,308.15,101,1043.4,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0,313.15,101,1033,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0,318.15,101,1018,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.02,298.15,101,1040,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.02,303.15,101,1033.4,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.02,308.15,101,1028.1,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.02,313.15,101,1021.7,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.02,318.15,101,1016,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.05,298.15,101,1019.9,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
