setid,"Temperature, K","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YxHgG,283.15,0,101,800.544,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.04581,101,805.004,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.05858,101,806.247,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.07409,101,807.746,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.08825,101,809.117,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.1028,101,810.527,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.1172,101,811.93,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.1463,101,814.771,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.1743,101,817.509,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.2027,101,820.305,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.2301,101,823.038,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.2574,101,825.732,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,283.15,0.2861,101,828.58,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0,101,795.854,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.04581,101,800.315,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.05858,101,801.557,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.07409,101,803.057,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.08825,101,804.427,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.1028,101,805.836,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.1172,101,807.238,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.1463,101,810.077,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.1743,101,812.812,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.2027,101,815.606,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.2301,101,818.338,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.2574,101,821.028,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,288.15,0.2861,101,823.872,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,293.15,0,101,791.158,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,293.15,0.04581,101,795.62,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,293.15,0.05858,101,796.863,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,293.15,0.07409,101,798.363,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,293.15,0.08825,101,799.733,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
YxHgG,293.15,0.1028,101,801.14,Warminska et al. (2010b),Density,Liquid,AAGIBL,CO,methanol,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
