setid,"Temperature, K","MolaLity of sodium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aHTPS,288.15,0.1377,101,1217,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,288.15,0.1739,101,1218.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0,101,1201.8,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.0273,101,1203.5,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.054,101,1204.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.058,101,1205,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.0676,101,1206.1,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.0903,101,1206.8,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.1069,101,1207.9,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.1159,101,1208.3,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,298.15,0.1377,101,1209.8,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
