setid,"Temperature, K","Mole fraction of 1,2,4-trifluorobenzene","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ogBqX,362.4,0.893,0.0001242,Shiflett and Yokozeki (2008a),Density,Liquid mixture 1,Liquid mixture 2,,3,AAZUjA,Fc1ccc(F)c(F)c1,"1,2,4-trifluorobenzene",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide
ogBqX,367.4,0.892,0.0001247,Shiflett and Yokozeki (2008a),Density,Liquid mixture 1,Liquid mixture 2,,3,AAZUjA,Fc1ccc(F)c(F)c1,"1,2,4-trifluorobenzene",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide
ogBqX,372.4,0.891,0.0001252,Shiflett and Yokozeki (2008a),Density,Liquid mixture 1,Liquid mixture 2,,3,AAZUjA,Fc1ccc(F)c(F)c1,"1,2,4-trifluorobenzene",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide
