setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BjImr,293.15,0.0344,100,928.7,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.0694,100,975.8,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.0908,100,1002.8,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.1509,100,1073.2,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.1983,100,1123.6,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.3053,100,1224.38,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.4013,100,1302.46,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.5001,100,1373.1,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.5949,100,1433.03,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.7025,100,1493.16,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.8049,100,1544.02,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.9051,100,1589.61,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,293.15,0.947,100,1607.82,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,298.15,0.0344,100,924.6,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,298.15,0.0694,100,971.6,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,298.15,0.0908,100,998.6,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
BjImr,298.15,0.1509,100,1068.7,Vranes et al. (2014c),Density,Liquid,AAeMpf,CCCCN(C=O)CCCC,"N,N-dibutylformamide",ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
