setid,"Solvent: MolaLity of propylene carbonate, mol/kg","MolaRity of tetraethylammonium tetrafluoroborate, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HMCCb,0.01,0,298.15,101.3,997.23,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0,303.15,101.3,995.95,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0,308.15,101.3,994.43,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0,313.15,101.3,992.51,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.00994,298.15,101.3,997.86,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.00994,303.15,101.3,995.95,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.00994,308.15,101.3,994.82,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.00994,313.15,101.3,992.9,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.02976,298.15,101.3,998.56,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.02976,303.15,101.3,996.32,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.02976,308.15,101.3,995.52,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.02976,313.15,101.3,993.59,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.04942,298.15,101.3,999.17,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.04942,303.15,101.3,997.01,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.04942,308.15,101.3,996.14,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.04942,313.15,101.3,994.2,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.06896,298.15,101.3,999.74,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.06896,303.15,101.3,997.64,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.06896,308.15,101.3,996.71,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.06896,313.15,101.3,994.75,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.09797,298.15,101.3,1000.5,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.09797,303.15,101.3,998.2,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.09797,308.15,101.3,997.47,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.01,0.09797,313.15,101.3,995.49,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
