setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MVDfD,283.15,101,0.3333,1159,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,288.15,101,0.3333,1154.6,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,293.15,101,0.3333,1150.2,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,298.15,101,0.3333,1145.8,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,303.15,101,0.3333,1141.4,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,308.15,101,0.3333,1137,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,313.15,101,0.3333,1132.6,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,318.15,101,0.3333,1128.2,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,323.15,101,0.3333,1123.8,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,328.15,101,0.3333,1119.4,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,333.15,101,0.3333,1115,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,338.15,101,0.3333,1110.5,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,343.15,101,0.3333,1106.1,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,348.15,101,0.3333,1101.7,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
MVDfD,353.15,101,0.3333,1097.3,Mohan et al. (2022),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
