setid,"Temperature, K","MolaLity of 1-butylpyridinium dicyanamide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kMIiD,288.15,0.0118,100,999.33,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.0276,100,999.62,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.0563,100,1000.11,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.1104,100,1001.04,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.1695,100,1002.05,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.2834,100,1003.66,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.3347,100,1004.4,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.3916,100,1005.3,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,288.15,0.4452,100,1005.86,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.0118,100,998.43,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.0276,100,998.69,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.0563,100,999.15,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.1104,100,1000.01,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.1695,100,1000.95,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.2834,100,1002.45,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.3347,100,1003.13,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.3916,100,1003.96,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,293.15,0.4452,100,1004.49,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.0118,100,997.25,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.0276,100,997.5,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.0563,100,997.93,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.1104,100,998.73,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.1695,100,999.6,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.2834,100,1000.99,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.3347,100,1001.62,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.3916,100,1002.41,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,298.15,0.4452,100,1002.9,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.0118,100,995.84,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.0276,100,996.07,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.0563,100,996.47,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.1104,100,997.22,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.1695,100,998.03,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.2834,100,999.33,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.3347,100,999.91,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.3916,100,1000.65,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,303.15,0.4452,100,1001.1,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.0118,100,994.21,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.0276,100,994.43,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.0563,100,994.8,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.1104,100,995.5,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.1695,100,996.26,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.2834,100,997.47,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.3347,100,998.02,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
kMIiD,308.15,0.3916,100,998.7,Xing et al. (2016c),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AADYJk,O,water,,,
