setid,"Temperature, K",Mole fraction of 1-hexyl-3-methyl-1H-imidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WXSKY,288.15,0.0541,101,1003.16,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.1114,101,1033.95,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.2063,101,1075.85,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.3163,101,1113.65,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.399,101,1136.61,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.5066,101,1160.88,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.5919,101,1177.15,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.7003,101,1194.68,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.8193,101,1210.88,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,288.15,0.905,101,1221.01,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.0541,101,998.827,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.1114,101,1029.8,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.2063,101,1071.89,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.3163,101,1109.92,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.399,101,1132.93,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.5066,101,1157.28,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.5919,101,1173.58,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.7003,101,1191.1,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.8193,101,1207.23,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,293.15,0.905,101,1217.37,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.0541,101,994.442,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.1114,101,1025.66,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.2063,101,1067.99,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.3163,101,1106.17,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.399,101,1129.03,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.5066,101,1153.7,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.5919,101,1169.99,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.7003,101,1187.69,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.8193,101,1203.66,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,298.15,0.905,101,1213.6,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
WXSKY,303.15,0.0541,101,990.104,Pal and Kumar (2012b),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,
