setid,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PPoyq,0,292,100,1157.3,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0,302,100,1150.8,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0,312,100,1144.5,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0,322,100,1138.2,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0,332,100,1132,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0,342,100,1126,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1305,292,100,1154.7,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1305,302,100,1148.1,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1305,312,100,1141.7,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1305,322,100,1135.4,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1305,332,100,1129.2,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1305,342,100,1123.1,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1946,292,100,1152.9,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1946,302,100,1146.2,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1946,312,100,1139.9,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1946,322,100,1133.5,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1946,332,100,1127.4,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.1946,342,100,1121.2,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.2775,292,100,1150,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.2775,302,100,1143.2,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.2775,312,100,1136.9,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.2775,322,100,1130.5,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.2775,332,100,1124.4,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
PPoyq,0.2775,342,100,1118.1,Bermejo et al. (2008),Density,Liquid,AADYJk,O,water,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
