setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","Temperature, K","MolaLity of glycyl-l-glutamine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tqaiq,0,298.15,0,101.3,997.045,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.02145,101.3,999.073,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.03879,101.3,1000.7,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.06116,101.3,1002.79,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.08141,101.3,1004.67,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.1008,101.3,1006.46,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.1497,101.3,1010.92,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.1987,101.3,1015.33,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,298.15,0.2522,101.3,1020.08,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,303.15,0,101.3,995.55,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,303.15,0.02145,101.3,997.572,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,303.15,0.03879,101.3,999.196,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,303.15,0.06116,101.3,1001.27,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
tqaiq,0,303.15,0.08141,101.3,1003.14,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AAnDys,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,glycyl-l-glutamine
