setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RAxBs,293.15,0,101,782.04,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.0303,101,815.47,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.0797,101,859.07,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.1308,101,894.46,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.1806,101,922.76,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.235,101,948.31,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.2914,101,970.09,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.3717,101,995.1,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,293.15,0.439,101,1012.5,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0,101,776.64,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.0303,101,810.4,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.0797,101,854.38,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.1308,101,890.07,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.1806,101,918.62,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.235,101,944.36,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.2914,101,966.32,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.3717,101,991.5,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,298.15,0.439,101,1009.1,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0,101,771.21,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0.0303,101,805.29,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0.0797,101,849.67,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0.1308,101,885.68,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0.1806,101,914.46,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0.235,101,940.39,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0.2914,101,962.55,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
RAxBs,303.15,0.3717,101,988,Yang et al. (2010a),Density,Liquid,AAHueB,CC#N,acetonitrile,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
