setid,"MolaLity of 1-heptyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HENYw,0,288.15,101,795.934,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0,293.15,101,791.24,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0,298.15,101,786.531,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0,303.15,101,781.802,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0,308.15,101,777.053,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0077,288.15,101,796.567,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0077,293.15,101,791.876,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0077,298.15,101,787.17,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0077,303.15,101,782.447,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0077,308.15,101,777.7,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0154,288.15,101,797.182,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0154,293.15,101,792.495,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0154,298.15,101,787.793,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0154,303.15,101,783.073,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0154,308.15,101,778.331,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.023,288.15,101,797.805,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.023,293.15,101,793.12,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.023,298.15,101,788.421,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.023,303.15,101,783.703,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.023,308.15,101,778.964,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0309,288.15,101,798.432,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
HENYw,0.0309,293.15,101,793.752,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
