setid,Mole fraction of potassium bis(fluorosulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aUigp,0,278,101,1355.3,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,283,101,1351.2,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,288,101,1347.2,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,293,101,1343.1,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,298,101,1339.1,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,303,101,1335.1,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,308,101,1331.1,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,313,101,1327.2,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,318,101,1323.2,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,323,101,1319.3,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,328,101,1315.3,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,333,101,1311.4,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,338,101,1307.6,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,343,101,1303.8,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,348,101,1300,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,353,101,1296.2,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,358,101,1292.4,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0,363,101,1288.7,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
aUigp,0.05,278,101,1374,Yamamoto et al. (2017),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABHPAi,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,,,
