setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium DL-alaninate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LOEuc,288.15,0,100,998,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.1003,100,1066.3,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.2012,100,1078,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.3009,100,1083.5,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.4014,100,1086,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.4938,100,1087.3,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.5975,100,1088.3,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.6987,100,1089.3,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.7945,100,1090,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,288.15,0.8965,100,1091.8,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0,100,997.1,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.1003,100,1063,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.2012,100,1074.6,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.3009,100,1080,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.4014,100,1082.6,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.4938,100,1083.8,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.5975,100,1084.9,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.6987,100,1085.9,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.7945,100,1086.6,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,293.15,0.8965,100,1088.4,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,298.15,0,100,995.9,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
LOEuc,298.15,0.1003,100,1059.7,Wang et al. (2022i),Density,Liquid,AAuVsW,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1C,"1-butyl-2,3-dimethylimidazolium DL-alaninate",AADYJk,O,water,,,
