setid,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rjoAE,293.16,1126.3,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,298.14,1123,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,303.14,1119.7,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,308.14,1116.5,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,313.14,1113.2,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,318.14,1109.9,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,323.14,1106.7,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,328.14,1103.4,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,333.14,1100.2,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,338.14,1097,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,343.14,1093.7,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,348.14,1090.5,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,353.14,1087.3,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
rjoAE,358.14,1084.1,Mac Dowell et al. (2014),Density,Liquid,ABGwfV,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],1-methyl-3-octylimidazolium methyl sulfate,,,,,,
