setid,"MolaLity of Guanidinium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vQDiO,0.0234,298,101,998.45,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,0.0489,298,101,999.97,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,0.0769,298,101,1001.6,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,0.0976,298,101,1002.8,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,0.3459,298,101,1017.1,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,0.512,298,101,1026.3,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,0.7467,298,101,1038.9,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,0.9856,298,101,1051.2,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,1.136,298,101,1058.8,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,1.6532,298,101,1083.3,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,2.0222,298,101,1099.6,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,2.5202,298,101,1120.3,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,2.8977,298,101,1135,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
vQDiO,3.0101,298,101,1139.3,Kumar (2001),Density,Liquid,AADYJk,O,water,AAavNv,NC(N)=[NH2+].[Br-],Guanidinium bromide,,,
