setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RqQke,293.15,0.0978,101,1144.09,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.1979,101,1228.99,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.2957,101,1292.83,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.395,101,1344.49,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.493,101,1386.31,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.5893,101,1420.55,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.6917,101,1451.44,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.798,101,1478.94,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,293.15,0.9002,101,1502.24,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
RqQke,298.15,0.0978,101,1139.45,Yao et al. (2012),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
