setid,"Solvent: MolaLity of lithium bromide, mol/kg","MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KaSGN,0.0035,0,86,298.15,1199.2,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.0141,86,298.15,1198.9,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.0177,86,298.15,1198.8,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.0206,86,298.15,1198.7,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.025,86,298.15,1198.7,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.0281,86,298.15,1198.6,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.0317,86,298.15,1198.5,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.034,86,298.15,1198.5,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0035,0.0383,86,298.15,1198.4,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0062,0,86,298.15,1199.4,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0062,0.0142,86,298.15,1199,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0062,0.0167,86,298.15,1199,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0062,0.0197,86,298.15,1198.9,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
KaSGN,0.0062,0.0235,86,298.15,1198.8,Golmohammadi et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
