setid,"MolaLity of 1-butyl-3-methylpyridinium tetrafluoroborate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pgnIb,0.0119,101,298.15,997.501,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0232,101,298.15,997.906,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0269,101,298.15,998.039,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0418,101,298.15,998.569,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0556,101,298.15,999.058,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0644,101,298.15,999.368,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0717,101,298.15,999.625,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0859,101,298.15,1000.12,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.0953,101,298.15,1000.44,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1043,101,298.15,1000.75,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1184,101,298.15,1001.23,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1278,101,298.15,1001.54,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1427,101,298.15,1002.05,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1534,101,298.15,1002.4,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1593,101,298.15,1002.6,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1763,101,298.15,1003.16,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
pgnIb,0.1851,101,298.15,1003.45,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
