setid,"Temperature, K","MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UyNmZ,298.15,0.03,100,779.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.0509,100,780.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.0721,100,782.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.1016,100,784.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.123,100,786.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.1434,100,788.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.1628,100,789.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.1944,100,792,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.211,100,793.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,298.15,0.2313,100,794.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.03,100,770.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.0509,100,772.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.0721,100,774.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.1016,100,776.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.123,100,778.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.1434,100,779.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.1628,100,781.2,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.1944,100,783.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
