setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LvZby,278.15,0,101,802.39,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.047,101,933.23,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.097,101,1026.67,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.198,101,1146.24,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.292,101,1215.04,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.39,101,1263.14,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.47,101,1292.55,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.596,101,1327.21,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.694,101,1347.34,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.799,101,1364.86,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,0.903,101,1379.2,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,278.15,1,101,1390.3,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
LvZby,298.15,0,101,785.32,Salinas et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
