setid,"Temperature, K",Mole fraction of butyltriethylphosphonium 2-cyanopyrrolide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LzNJV,293.15,0,100,1259,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.003,100,1258,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.018,100,1247,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.039,100,1230,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.058,100,1216,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.08,100,1201,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.128,100,1169,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.259,100,1110,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,0.577,100,1034,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,293.15,1,100,991,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
LzNJV,298.15,0,100,1256,Nordness et al. (2020),Density,Liquid,AAzLBF,CCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,butyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
