setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZKYwA,100,298.15,0,805.8,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.052,835,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.1024,860.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.2001,903.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.3005,943.1,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.4008,977.9,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.4975,1007.4,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.6004,1034.7,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.6996,1058.2,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
ZKYwA,100,298.15,0.7999,1079.3,Hauk et al. (2021),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAONVE,CCCCO,butan-1-ol,,,
