setid,"Temperature, K",Solvent: Mole fraction of propan-1-ol,"MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wQMeB,288.15,0.0697,0,101.3,972.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.0697,0.0302,101.3,973.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.0697,0.0606,101.3,974.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.0697,0.09,101.3,975.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.0697,0.1214,101.3,976.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.0697,0.1526,101.3,978,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.0697,0.1786,101.3,979.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.1666,0,101.3,934,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.1666,0.0309,101.3,934.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.1666,0.0596,101.3,935.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.1666,0.0898,101.3,936,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.1666,0.1201,101.3,936.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.1666,0.1535,101.3,937.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.1666,0.1778,101.3,938.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.4233,0,101.3,869.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.4233,0.0284,101.3,869.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.4233,0.0602,101.3,871.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.4233,0.0899,101.3,872.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.4233,0.1183,101.3,873.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.4233,0.151,101.3,875.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,0.4233,0.1789,101.3,876.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,1,0,101.3,809.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,1,0.0282,101.3,810.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,1,0.0565,101.3,811.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,1,0.0852,101.3,812.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,1,0.1185,101.3,813.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,1,0.1481,101.3,814.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,288.15,1,0.1793,101.3,816,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.0697,0,101.3,967.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.0697,0.0302,101.3,967.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.0697,0.0606,101.3,968.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.0697,0.09,101.3,969,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.0697,0.1214,101.3,970,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.0697,0.1526,101.3,971,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.0697,0.1786,101.3,972,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.1666,0,101.3,927,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.1666,0.0309,101.3,927.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.1666,0.0596,101.3,928.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.1666,0.0898,101.3,929.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.1666,0.1201,101.3,929.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.1666,0.1535,101.3,930.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.1666,0.1778,101.3,931.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.4233,0,101.3,860.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.4233,0.0284,101.3,860.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.4233,0.0602,101.3,861.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.4233,0.0899,101.3,863.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.4233,0.1183,101.3,864.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.4233,0.151,101.3,866.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,0.4233,0.1789,101.3,867.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,1,0,101.3,799.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,1,0.0282,101.3,799.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,1,0.0565,101.3,800.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
wQMeB,298.15,1,0.0852,101.3,801.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcLI,CCCO,propan-1-ol,AADYJk,O,water
