setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapentylammonium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eRaXP,293.15,0,100,0.01,998.34,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.003,100,0.01,998.54,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.006,100,0.01,998.59,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.009,100,0.01,998.63,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.012,100,0.01,998.68,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.015,100,0.01,998.74,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.018,100,0.01,998.78,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.021,100,0.01,998.83,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.024,100,0.01,998.87,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.027,100,0.01,998.9,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.03,100,0.01,998.96,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,293.15,0.033,100,0.01,998.99,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
eRaXP,298.15,0,100,0.01,997,Chauhan et al. (2016),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
