setid,"MolaLity of hexyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MDOKI,0,101,298.15,997.05,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.02501,101,298.15,997.79,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.05001,101,298.15,998.57,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.07505,101,298.15,999.34,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.12502,101,298.15,1000.88,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.13,101,298.15,1001.05,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.15,101,298.15,1001.64,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.17507,101,298.15,1002.41,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.25002,101,298.15,1004.69,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.2751,101,298.15,1005.39,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.32513,101,298.15,1006.85,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.35009,101,298.15,1007.63,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.40014,101,298.15,1009.06,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.42503,101,298.15,1009.77,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.50008,101,298.15,1011.89,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.75028,101,298.15,1018.71,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,0.8791,101,298.15,1021.99,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,1.00031,101,298.15,1025.02,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,1.50129,101,298.15,1036.33,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
MDOKI,2.00063,101,298.15,1046,Wasiak et al. (2013),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
