setid,"MolaLity of 1-butyl-2-methylpyridinium tetrafluoroborate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TcwJj,0.015,101,298.15,997.635,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0231,101,298.15,997.94,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0283,101,298.15,998.136,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0407,101,298.15,998.601,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0497,101,298.15,998.937,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0602,101,298.15,999.328,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0691,101,298.15,999.658,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0793,101,298.15,1000.03,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0879,101,298.15,1000.35,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.0983,101,298.15,1000.73,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1069,101,298.15,1001.03,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1139,101,298.15,1001.28,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1218,101,298.15,1001.56,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1276,101,298.15,1001.77,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1348,101,298.15,1002.02,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1362,101,298.15,1002.07,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1415,101,298.15,1002.26,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1507,101,298.15,1002.58,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
TcwJj,0.1553,101,298.15,1002.74,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
