setid,"MolaLity of tetrapentylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ybUQM,0.01004,298.15,101,0.82,Zana et al. (1979),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AAHueB,CC#N,acetonitrile,,,
ybUQM,0.01967,298.15,101,1.589,Zana et al. (1979),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AAHueB,CC#N,acetonitrile,,,
ybUQM,0.03965,298.15,101,3.166,Zana et al. (1979),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AAHueB,CC#N,acetonitrile,,,
ybUQM,0.062,298.15,101,4.89,Zana et al. (1979),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AAHueB,CC#N,acetonitrile,,,
ybUQM,0.08038,298.15,101,6.286,Zana et al. (1979),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AAHueB,CC#N,acetonitrile,,,
ybUQM,0.10701,298.15,101,8.273,Zana et al. (1979),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AAHueB,CC#N,acetonitrile,,,
ybUQM,0.16338,298.15,101,12.363,Zana et al. (1979),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AAHueB,CC#N,acetonitrile,,,
