setid,"Temperature, K",Weight fraction of 1-methyl-3-octylimidazolium chloride,Weight fraction of cesium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gZDvi,288.15,0.0422,0.6004,101,1815.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,288.15,0.0916,0.5336,101,1693.9,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,288.15,0.1604,0.4592,101,1576.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,288.15,0.2511,0.3719,101,1450.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,288.15,0.3711,0.279,101,1326.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,288.15,0.5173,0.1689,101,1204.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,288.15,0.6689,0.0639,101,1090.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,288.15,0.7938,0.0124,101,1035.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0086,0.06,101,1045,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0087,0,101,997.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0087,0.03,101,1020.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0173,0,101,997.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0173,0.03,101,1020.9,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0173,0.06,101,1045.3,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.026,0,101,997.8,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.026,0.03,101,1021.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.026,0.06,101,1045.6,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0347,0,101,998,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0347,0.06,101,1045.9,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0348,0.03,101,1021.4,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0404,0.6074,101,1832.1,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0433,0,101,998.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0433,0.06,101,1046.2,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0434,0.03,101,1021.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.052,0.03,101,1021.7,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.052,0.06,101,1046.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
gZDvi,298.15,0.0521,0,101,998.5,Tang et al. (2014a),Density,Liquid,AAgTSO,[Cl-].[Cs+],cesium chloride,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
