setid,"Temperature, K","Mole fraction of (3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Mole fraction of (3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RppIS,293.4,0.139,0.139,101,0.000189,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,293.4,0.4855,0.4855,101,0.000156,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,303.3,0.121,0.121,101,0.0001927,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,303.3,0.489,0.489,101,0.0001585,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,313.1,0.1085,0.1085,101,0.0001951,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,313.1,0.49,0.49,101,0.0001615,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,323.3,0.0975,0.0975,101,0.0001981,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,323.3,0.491,0.491,101,0.0001646,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,334.1,0.0895,0.0895,101,0.0001999,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
RppIS,334.1,0.491,0.491,101,0.0001694,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
