setid,"Temperature, K","Solvent: MolaLity of cholinium propanoate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rxBPH,293.15,0.05,0.0491,100,1000.7,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.0973,100,1002.2,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.1484,100,1003.8,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.2003,100,1005.5,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.2516,100,1007.1,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.2971,100,1008.5,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.3522,100,1010.1,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.4005,100,1011.5,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.4256,100,1012.3,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
rxBPH,293.15,0.05,0.4816,100,1013.9,Panda et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
