setid,"Temperature, K","MolaLity of 1-methyl-1-propylpyrrolidinium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vnVxF,293.15,0.04917,101,787.4,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,293.15,0.0986,101,792.3,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,293.15,0.14526,101,796.9,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,293.15,0.1969,101,802.1,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,293.15,0.24935,101,807.3,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,293.15,0.29575,101,811.9,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,293.15,0.34755,101,817.1,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,293.15,0.39618,101,821.9,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.04917,101,782,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.0986,101,787,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.14526,101,791.7,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.1969,101,796.9,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.24935,101,802.2,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.29575,101,806.9,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.34755,101,812.2,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,298.15,0.39618,101,817.1,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,303.15,0.04917,101,776.7,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,303.15,0.0986,101,781.7,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
vnVxF,303.15,0.14526,101,786.5,Brahma and Gardas (2018),Density,Liquid,AAxDWO,CCC[N+]1(C)CCCC1.[I-],1-methyl-1-propylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
